Location,Plot Number,Size,Floor,Accommodation,Possession,Price,Facing,Park Facing,Corner,,,,,,,,,,,
Sushant Lok 1,A329A,360 square feet,1st Floor,4 BHK,READY,3.9 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,A329A,360 square feet,2nd Floor,4 BHK,READY,3.75 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,A329A,360 square feet,3rd Floor,4 BHK,READY,3.75 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,B473,300 square feet,2nd Floor,4 BHK,READY,3.6 crores,NORTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,B473,300 square feet,3rd Floor,4 BHK,READY,3.6 crores,NORTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C403,300 square feet,1st Floor,4 BHK,READY,3.5 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C403,300 square feet,2nd Floor,4 BHK,READY,3.35 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C403,300 square feet,4th Floor,4 BHK,READY,4 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C430A,270 square feet,4th Floor,4 BHK,READY,3.25 crores,WEST,YES,NO,,,,,,,,,,,
Sushant Lok 1,C959,215 square feet,1st Floor,3 BHK,READY,2.35 crores,EAST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C973,500 square feet,1st Floor,4 BHK,READY,5.75 crores,SOUTH,YES,NO,,,,,,,,,,,
Sushant Lok 1,C973,500 square feet,2nd Floor,4 BHK,READY,5.5 crores,SOUTH,YES,NO,,,,,,,,,,,
Sushant Lok 1,C973,500 square feet,3rd Floor,4 BHK,READY,6.5 crores,SOUTH,YES,NO,,,,,,,,,,,
Sushant Lok 1,C974,500 square feet,1st Floor,4 BHK,READY,5.75 crores,SOUTH,YES,NO,,,,,,,,,,,
DLF City Phase 4,3705,360 square feet,1st Floor,4 BHK,READY,3.7 crores,SOUTHEAST,YES,NO,,,,,,,,,,,
DLF City Phase 4,3705,360 square feet,3rd Floor,4 BHK,READY,3.5 crores,SOUTHEAST,YES,NO,,,,,,,,,,,
DLF City Phase 4,3705,360 square feet,4th Floor,4 BHK,READY,4.15 crores,SOUTHEAST,YES,NO,,,,,,,,,,,
DLF City Phase 4,3706,360 square feet,1st Floor,4 BHK,READY,3.7 crores,SOUTHEAST,YES,NO,,,,,,,,,,,
Sector 27,564,500 square feet,4th Floor,5 BHK,READY,4.25 crores,NORTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,B366,300 square feet,2nd Floor,4 BHK,READY,3.5 crores,SOUTH,NO,NO,,,,,,,,,,,
